loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,application_type,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
10000,10000,10000, 36 months,14.47,344.07,C,C2,Teacher ,10+ years,RENT,47000,Source Verified,Dec-18,Current,n,credit_card,15.25,0,Jul-96,3,36,,12,0,10299,58.2,28,w,9776.51,9776.51,340.05,340.05,223.49,116.56,0,0,0,Feb-19,352.11,Mar-19,Feb-19,0,Individual,0,10299,6,0,0,0,47,0,,9,14,2981,58,"17,700",58.19%,0,0,3,14,858,2660,72.6,0,0,47,174,1,1,0,5,71,1,71,2,5,11,5,10,1,12,26,11,12,0,0,0,9,92.9,60,0,0,17700,10299,9700,0
7500,7500,7500, 36 months,16.14,264.2,C,C4,lab tech,10+ years,OWN,50000,Source Verified,Dec-18,Current,n,home_improvement,16.11,0,Nov-14,0,,,10,0,8064,33.7,14,w,7171.15,7171.15,518.31,518.31,328.85,189.46,0,0,0,Feb-19,264.2,Mar-19,Feb-19,0,Individual,127,19324,1,2,1,2,4,11260,71,0,1,2387,49,"23,900",33.74%,0,1,2,3,1932,9836,45.1,0,0,38,49,24,4,0,31,,1,,0,5,5,6,6,5,8,9,5,10,0,0,0,1,100,0,0,0,39859,19324,17900,15959
30000,30000,30000, 36 months,16.91,1068.24,C,C5,customer service,10+ years,RENT,40000,Verified,Dec-18,Current,n,debt_consolidation,16.44,0,Jan-91,0,,,12,0,17964,38.4,26,w,28699.92,28699.92,2094.2,2094.2,1300.08,794.12,0,0,0,Feb-19,1068.24,Mar-19,Feb-19,0,Individual,0,29801,1,1,0,0,29,11837,79,4,4,9000,48,"46,800",38.38%,0,0,1,4,2483,18636,49.1,0,0,101,335,5,5,0,8,,8,,0,4,4,6,14,5,11,21,4,12,0,0,0,4,100,50,0,0,61800,29801,36600,15000
3775,3775,3775, 36 months,13.56,128.22,C,C1,,n/a,OWN,5000,Source Verified,Dec-18,Current,n,home_improvement,66.86,0,Aug-98,0,,63,4,1,2130,40.2,12,w,3689.43,3689.43,128.22,128.22,85.57,42.65,0,0,0,Feb-19,132.49,Mar-19,Feb-19,0,Joint App,0,5807,0,1,0,0,26,3677,40,0,0,1083,40,"5,300",40.19%,1,0,4,0,1452,174,92.1,0,0,116,244,50,26,0,50,,3,,0,2,3,2,4,6,3,6,3,4,0,0,0,0,100,100,1,0,14392,5807,2200,9092
5600,5600,5600, 36 months,11.31,184.17,B,B3,,n/a,RENT,20166,Not Verified,Dec-18,Current,n,debt_consolidation,39.58,0,Sep-88,0,,,4,0,14651,87.2,17,w,5335.98,5335.98,363.06,363.06,264.02,99.04,0,0,0,Feb-19,184.17,Mar-19,Feb-19,0,Individual,0,17115,0,1,0,1,15,2464,68,0,0,9916,84,"16,800",87.21%,0,0,0,1,4279,649,95.8,0,0,147,363,46,15,2,46,,,,0,2,2,2,5,5,3,10,2,4,0,0,0,0,100,100,0,0,20400,17115,15300,3600
6000,6000,6000, 36 months,16.14,211.36,C,C4,Facility Maintenance Tech,3 years,RENT,40000,Source Verified,Dec-18,Current,n,other,3.75,0,Aug-08,0,,,9,0,5580,10.4,15,w,5736.92,5736.92,414.65,414.65,263.08,151.57,0,0,0,Feb-19,211.36,Mar-19,Feb-19,0,Individual,924,6785,0,0,0,0,,0,,1,2,4230,12,"53,800",10.37%,1,0,1,3,754,42920,11.5,0,0,,124,10,10,0,53,,0,,0,2,2,4,7,0,8,14,2,9,0,0,0,1,100,0,0,0,55383,6785,48500,0
16000,16000,16000, 36 months,15.02,554.81,C,C3,Plumber,4 years,OWN,50000,Source Verified,Dec-18,Current,n,debt_consolidation,17.79,0,Dec-07,0,35,,11,0,10108,65.2,23,w,15286.48,15286.48,1089.59,1089.59,713.52,376.07,0,0,0,Feb-19,554.81,Mar-19,Feb-19,0,Individual,0,28254,0,2,1,3,8,18146,79,0,3,2475,74,"15,500",65.21%,0,6,1,6,2825,2847,74.1,0,0,132,120,13,8,0,13,35,8,35,0,5,7,6,8,9,9,14,7,11,0,0,0,1,82.6,66.7,0,0,38363,28254,11000,22863
15000,15000,15000, 36 months,16.14,528.4,C,C4,asst.mgr,3 years,RENT,60000,Source Verified,Dec-18,Current,n,credit_card,18.86,0,Aug-08,1,,,11,0,5311,49.2,24,w,14342.31,14342.31,1036.62,1036.62,657.69,378.93,0,0,0,Feb-19,528.4,Mar-19,Feb-19,0,Individual,0,29454,2,2,4,6,7,24143,78,3,7,2155,70,"10,800",49.18%,2,0,5,13,2678,3158,55.5,0,0,124,118,1,1,0,1,,1,,0,3,7,4,5,14,9,10,7,11,0,0,0,7,100,0,0,0,41884,29454,7100,31084
21000,21000,21000, 60 months,15.02,499.81,C,C3,Police Captain,10+ years,RENT,109000,Not Verified,Dec-18,Current,n,debt_consolidation,23.25,0,Sep-97,2,66,,7,0,2472,6.2,19,w,20523.11,20523.11,973.34,973.34,476.89,496.45,0,0,0,Feb-19,499.81,Mar-19,Feb-19,0,Individual,0,70738,2,4,2,4,4,68266,76,0,0,1165,41,"39,700",6.23%,2,0,2,4,10105,37228,6.2,0,0,127,255,35,4,0,35,70,6,70,1,3,3,3,4,15,3,4,3,7,0,0,0,2,84.2,0,0,0,119923,70738,39700,80223
25000,25000,25000, 60 months,20.89,674.79,D,D4,Veterinary Assistant ,1 year,MORTGAGE,70000,Not Verified,Dec-18,Current,n,debt_consolidation,26.08,0,Jan-00,0,,,12,0,43749,80,19,w,24516.67,24516.67,1306.06,1306.06,483.33,822.73,0,0,0,Feb-19,674.79,Mar-19,Feb-19,0,Individual,0,160400,0,0,0,0,219,0,0,0,1,10550,80,"54,554",80.19%,0,1,0,1,13366,4426,103,0,0,219,227,13,13,1,13,,13,,0,6,11,10,10,1,11,17,11,12,,0,0,0,100,100,0,0,184656,43749,26554,0
1000,1000,975, 36 months,8.19,31.43,A,A4,Project manager,10+ years,MORTGAGE,78000,Source Verified,Dec-18,Current,n,other,8.58,0,Jan-05,1,36,,10,0,7233,18,26,f,950.62,926.86,62.18,60.63,49.38,12.8,0,0,0,Feb-19,31.43,Mar-19,Feb-19,0,Individual,738,289602,3,1,0,2,14,12074,59,4,4,6462,32,"40,100",18.04%,3,5,3,8,28960,21656,24.8,0,0,138,167,1,1,3,4,,1,36,0,3,4,4,6,11,8,12,4,10,0,0,0,5,92.3,0,0,0,331993,19307,28800,20593
16000,16000,16000, 60 months,20.89,431.87,D,D4,Regional Manager,10+ years,RENT,200000,Verified,Dec-18,Current,n,credit_card,14.42,0,Feb-07,0,,,17,0,14270,87.5,20,w,15690.66,15690.66,835.89,835.89,309.34,526.55,0,0,0,Feb-19,431.87,Mar-19,Feb-19,0,Individual,0,68613,0,5,2,3,8,54343,78,0,1,1459,79,"16,300",87.55%,4,0,6,4,4036,1213,81.6,0,0,49,142,18,8,0,18,,8,,0,5,12,5,5,5,12,15,12,17,0,0,0,2,100,80,0,0,86399,68613,6600,70099
